PG_ID,Location,Latitude,Longitude,Distance_From_Center_KM,Rent,Sharing,Gender,Meals_Per_Day,Weekend_Food,WiFi,AC,Laundry,Parking,Housekeeping,Lift,Security,CCTV,Power_Backup,Drinking_Water,Floors,Food_Type,Pets_Allowed,Visitors_Allowed,Smoking_Area,Curfew_Time,Available_From,Availability
142,bagalur,13.12,77.65,11.12,8044,Double,Girls,2,No,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,3,Non-Veg,No,Yes,No,9:00 PM,09-05-2026,Full
143,kothanur,13.06,77.65,6.5,7573,Double,Boys,3,No,No,Yes,No,Yes,No,No,No,No,No,Yes,1,Both,Yes,Yes,No,No Curfew,08-05-2026,Available
144,hebbal,13.035,77.597,0,5936,Triple,Girls,2,Yes,No,No,No,No,No,No,No,No,No,Yes,1,Both,No,Yes,Yes,10:00 PM,20-05-2026,Full
145,bagalur,13.12,77.65,11.12,7159,Double,Co-ed,3,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,5,Non-Veg,No,Yes,No,9:00 PM,03-05-2026,Full
146,nagawara,13.04,77.62,2.61,14823,Single,Boys,2,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,5,Both,No,No,No,10:00 PM,15-05-2026,Full
147,hennur,13.05,77.64,5.06,17365,Single,Girls,3,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,4,Veg,No,Yes,Yes,9:00 PM,29-04-2026,Available
148,vidyaranyapura,13.08,77.55,7.22,5793,Triple,Boys,3,No,No,No,No,Yes,No,No,No,No,No,Yes,2,Veg,No,No,No,No Curfew,22-04-2026,Available
149,thanisandra,13.05,77.62,3.05,11200,Double,Co-ed,2,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,5,Veg,No,Yes,No,9:00 PM,13-05-2026,Full
150,nagawara,13.04,77.62,2.61,6120,Triple,Girls,2,No,No,No,No,No,No,No,No,No,No,Yes,1,Non-Veg,Yes,Yes,No,11:00 PM,22-04-2026,Available
151,bagalur,13.12,77.65,11.12,15583,Single,Boys,3,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,3,Non-Veg,No,No,No,10:00 PM,22-04-2026,Full
152,nagawara,13.04,77.62,2.61,12699,Single,Girls,3,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,3,Veg,No,Yes,Yes,No Curfew,17-05-2026,Available
153,hennur,13.05,77.64,5.06,6910,Double,Boys,3,No,Yes,No,No,No,No,No,No,No,Yes,Yes,4,Veg,Yes,No,No,10:00 PM,25-04-2026,Full
154,kalyan nagar,13.025,77.64,4.9,7236,Triple,Co-ed,2,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,5,Non-Veg,No,Yes,Yes,11:00 PM,18-05-2026,Full
155,kammanahalli,13.02,77.635,4.53,5982,Triple,Co-ed,2,Yes,No,No,No,No,No,No,No,No,No,Yes,5,Non-Veg,Yes,No,No,11:00 PM,12-05-2026,Available
156,sahakar nagar,13.06,77.58,3.36,12730,Single,Boys,2,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,2,Non-Veg,No,Yes,No,10:00 PM,06-05-2026,Available
157,hebbal,13.035,77.597,0,6667,Triple,Boys,3,No,No,No,No,No,No,No,No,No,No,Yes,3,Both,No,Yes,No,11:00 PM,05-05-2026,Full
158,thanisandra,13.05,77.62,3.05,6046,Triple,Girls,2,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,5,Both,No,No,No,10:00 PM,06-05-2026,Available
159,nagawara,13.04,77.62,2.61,5137,Triple,Co-ed,3,No,No,No,No,No,No,No,No,No,No,No,3,Non-Veg,No,No,No,11:00 PM,27-04-2026,Full
160,nagawara,13.04,77.62,2.61,6541,Double,Girls,3,Yes,No,No,No,Yes,No,No,No,No,No,Yes,1,Non-Veg,No,Yes,No,11:00 PM,26-04-2026,Available
161,sahakar nagar,13.06,77.58,3.36,7098,Double,Co-ed,3,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,4,Veg,Yes,No,No,No Curfew,18-05-2026,Available
162,sahakar nagar,13.06,77.58,3.36,11409,Double,Boys,2,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,5,Both,No,No,Yes,10:00 PM,13-05-2026,Full
163,nagawara,13.04,77.62,2.61,16190,Single,Girls,2,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,4,Veg,Yes,No,Yes,10:00 PM,13-05-2026,Full
164,bagalur,13.12,77.65,11.12,5950,Triple,Co-ed,2,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,2,Veg,No,Yes,No,10:00 PM,19-05-2026,Available
165,rt nagar,13.022,77.594,1.48,6667,Double,Co-ed,2,Yes,No,No,No,No,No,No,No,No,No,No,5,Non-Veg,Yes,Yes,No,No Curfew,18-05-2026,Full
166,yelahanka,13.1,77.596,7.22,19202,Single,Girls,3,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,4,Both,No,No,Yes,10:00 PM,25-04-2026,Full
167,kothanur,13.06,77.65,6.5,5525,Triple,Boys,2,No,No,No,No,No,No,No,Yes,No,No,Yes,2,Veg,Yes,No,No,11:00 PM,14-05-2026,Available
168,nagawara,13.04,77.62,2.61,6005,Triple,Co-ed,2,Yes,No,No,No,Yes,No,No,No,No,No,Yes,1,Non-Veg,No,Yes,Yes,No Curfew,15-05-2026,Full
169,horamavu,13.03,77.67,8.12,19288,Single,Co-ed,2,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,Both,No,Yes,No,10:00 PM,15-05-2026,Full
170,vidyaranyapura,13.08,77.55,7.22,4739,Triple,Boys,2,Yes,No,No,No,No,No,No,No,No,Yes,Yes,1,Veg,Yes,Yes,Yes,9:00 PM,11-05-2026,Full
171,hebbal,13.035,77.597,0,10760,Double,Boys,2,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,1,Non-Veg,No,Yes,Yes,No Curfew,17-05-2026,Full
172,bagalur,13.12,77.65,11.12,4643,Triple,Co-ed,3,No,No,No,No,No,Yes,No,No,No,No,Yes,4,Veg,No,No,Yes,10:00 PM,29-04-2026,Full
173,kalyan nagar,13.025,77.64,4.9,5552,Triple,Co-ed,2,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,3,Non-Veg,No,No,Yes,11:00 PM,12-05-2026,Full
174,kodigehalli,13.07,77.58,4.32,18915,Single,Boys,3,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,5,Veg,No,No,No,11:00 PM,20-05-2026,Full
175,sahakar nagar,13.06,77.58,3.36,8645,Double,Co-ed,3,No,No,Yes,No,No,No,No,No,No,Yes,No,2,Non-Veg,No,Yes,No,No Curfew,06-05-2026,Full
176,nagawara,13.04,77.62,2.61,4579,Triple,Girls,2,No,No,No,No,No,No,No,No,Yes,No,No,4,Both,No,No,Yes,9:00 PM,07-05-2026,Full
177,jakkur,13.08,77.6,5.01,4618,Triple,Girls,3,No,No,No,No,No,No,No,No,No,No,No,2,Veg,No,Yes,Yes,10:00 PM,30-04-2026,Full
178,thanisandra,13.05,77.62,3.05,12619,Single,Girls,3,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,3,Both,No,Yes,No,9:00 PM,12-05-2026,Available
179,hennur,13.05,77.64,5.06,16927,Single,Co-ed,2,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,1,Non-Veg,No,Yes,No,No Curfew,17-05-2026,Available
180,hennur,13.05,77.64,5.06,5105,Triple,Girls,3,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,5,Non-Veg,Yes,Yes,No,No Curfew,14-05-2026,Full
181,kalyan nagar,13.025,77.64,4.9,9660,Single,Co-ed,2,No,No,Yes,No,No,No,No,Yes,No,No,Yes,4,Non-Veg,Yes,Yes,Yes,9:00 PM,06-05-2026,Full
182,rt nagar,13.022,77.594,1.48,4614,Triple,Co-ed,2,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,2,Non-Veg,No,Yes,No,9:00 PM,11-05-2026,Available
183,kalyan nagar,13.025,77.64,4.9,16415,Single,Boys,3,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,5,Both,No,Yes,Yes,11:00 PM,05-05-2026,Available
184,kalyan nagar,13.025,77.64,4.9,19179,Single,Co-ed,2,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,3,Both,No,Yes,Yes,No Curfew,12-05-2026,Available
185,horamavu,13.03,77.67,8.12,17501,Single,Girls,2,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,4,Veg,No,No,Yes,11:00 PM,25-04-2026,Available
186,hebbal,13.035,77.597,0,11800,Single,Girls,2,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,1,Both,Yes,No,Yes,No Curfew,03-05-2026,Full
187,rt nagar,13.022,77.594,1.48,13357,Single,Boys,2,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,4,Both,No,Yes,No,11:00 PM,28-04-2026,Full
188,kodigehalli,13.07,77.58,4.32,13173,Single,Girls,3,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,5,Veg,No,No,No,9:00 PM,06-05-2026,Full
189,rt nagar,13.022,77.594,1.48,10986,Double,Boys,2,No,No,No,No,No,No,No,Yes,Yes,No,Yes,3,Veg,No,Yes,Yes,9:00 PM,21-04-2026,Available
190,kammanahalli,13.02,77.635,4.53,4112,Triple,Boys,2,Yes,No,No,No,No,No,No,No,No,No,Yes,1,Both,No,Yes,Yes,9:00 PM,05-05-2026,Available
191,vidyaranyapura,13.08,77.55,7.22,6451,Double,Co-ed,2,No,No,No,Yes,No,No,No,No,No,No,No,2,Both,No,No,Yes,11:00 PM,16-05-2026,Full
192,thanisandra,13.05,77.62,3.05,11444,Double,Co-ed,2,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,2,Both,No,Yes,No,10:00 PM,17-05-2026,Full
193,kodigehalli,13.07,77.58,4.32,4668,Triple,Girls,2,No,Yes,No,No,No,Yes,No,No,No,No,Yes,1,Both,No,No,Yes,No Curfew,24-04-2026,Available
194,vidyaranyapura,13.08,77.55,7.22,5082,Triple,Co-ed,2,No,No,No,Yes,No,No,No,No,Yes,No,Yes,1,Non-Veg,Yes,No,Yes,No Curfew,27-04-2026,Full
195,horamavu,13.03,77.67,8.12,4816,Triple,Boys,2,No,No,No,No,No,No,No,No,No,No,Yes,4,Veg,No,No,No,9:00 PM,05-05-2026,Full
196,rt nagar,13.022,77.594,1.48,4643,Triple,Girls,3,No,No,Yes,No,No,No,No,No,Yes,No,Yes,4,Both,Yes,Yes,Yes,10:00 PM,25-04-2026,Available
197,kalyan nagar,13.025,77.64,4.9,6346,Triple,Boys,2,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,3,Veg,Yes,No,Yes,No Curfew,26-04-2026,Full
198,sahakar nagar,13.06,77.58,3.36,6880,Triple,Girls,3,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,2,Both,No,Yes,No,10:00 PM,01-05-2026,Full
199,jakkur,13.08,77.6,5.01,14307,Single,Boys,3,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,5,Veg,No,Yes,Yes,No Curfew,21-04-2026,Available
200,thanisandra,13.05,77.62,3.05,4822,Triple,Girls,2,No,Yes,No,No,Yes,No,No,No,No,No,Yes,3,Non-Veg,Yes,Yes,Yes,11:00 PM,18-05-2026,Available
201,kalyan nagar,13.025,77.64,4.9,6330,Triple,Girls,3,No,No,No,No,No,No,No,No,No,No,Yes,2,Non-Veg,Yes,Yes,Yes,9:00 PM,19-05-2026,Full
202,thanisandra,13.05,77.62,3.05,4136,Triple,Girls,3,Yes,No,No,No,No,No,No,No,No,Yes,Yes,5,Both,No,No,Yes,9:00 PM,06-05-2026,Available
203,vidyaranyapura,13.08,77.55,7.22,5942,Triple,Co-ed,3,No,No,No,No,No,No,No,No,No,No,Yes,2,Veg,No,Yes,Yes,No Curfew,29-04-2026,Full
204,kothanur,13.06,77.65,6.5,11353,Double,Co-ed,2,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,3,Veg,No,Yes,No,9:00 PM,19-05-2026,Available
205,rt nagar,13.022,77.594,1.48,18137,Single,Co-ed,3,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,5,Veg,No,No,Yes,9:00 PM,07-05-2026,Full
206,kalyan nagar,13.025,77.64,4.9,18012,Single,Co-ed,3,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,1,Non-Veg,No,No,Yes,9:00 PM,02-05-2026,Full
207,bagalur,13.12,77.65,11.12,8994,Double,Boys,2,Yes,No,No,No,No,No,Yes,Yes,No,Yes,Yes,2,Non-Veg,Yes,No,Yes,11:00 PM,15-05-2026,Full
208,nagawara,13.04,77.62,2.61,5895,Triple,Girls,3,No,Yes,No,Yes,No,No,No,No,No,No,Yes,3,Non-Veg,No,Yes,Yes,11:00 PM,01-05-2026,Full
209,rt nagar,13.022,77.594,1.48,9193,Double,Girls,3,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,1,Non-Veg,No,No,No,10:00 PM,27-04-2026,Full
210,thanisandra,13.05,77.62,3.05,18695,Single,Boys,2,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,3,Both,No,No,No,10:00 PM,11-05-2026,Full
211,kothanur,13.06,77.65,6.5,5493,Triple,Co-ed,2,No,No,No,No,No,No,No,No,No,No,Yes,3,Non-Veg,Yes,Yes,No,11:00 PM,02-05-2026,Available
212,horamavu,13.03,77.67,8.12,4370,Triple,Co-ed,2,No,No,No,No,No,No,No,No,No,No,Yes,2,Non-Veg,Yes,No,No,10:00 PM,30-04-2026,Full
213,horamavu,13.03,77.67,8.12,12046,Single,Co-ed,2,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,5,Non-Veg,No,Yes,No,11:00 PM,14-05-2026,Available
214,yelahanka,13.1,77.596,7.22,7837,Double,Girls,2,No,Yes,No,No,No,No,No,No,No,Yes,Yes,3,Both,No,Yes,No,9:00 PM,19-05-2026,Full
215,vidyaranyapura,13.08,77.55,7.22,8505,Double,Boys,2,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,5,Veg,Yes,Yes,No,11:00 PM,08-05-2026,Full
216,rt nagar,13.022,77.594,1.48,9504,Double,Boys,2,No,Yes,No,No,No,No,No,No,No,No,Yes,3,Both,No,Yes,No,10:00 PM,06-05-2026,Available
217,vidyaranyapura,13.08,77.55,7.22,8258,Double,Girls,2,No,Yes,No,No,No,No,No,No,No,No,No,3,Non-Veg,No,No,Yes,10:00 PM,12-05-2026,Full
218,thanisandra,13.05,77.62,3.05,11841,Double,Boys,2,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,4,Veg,Yes,Yes,No,11:00 PM,04-05-2026,Available
219,jakkur,13.08,77.6,5.01,10749,Double,Co-ed,2,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,2,Both,No,Yes,No,11:00 PM,16-05-2026,Available
220,horamavu,13.03,77.67,8.12,18802,Single,Girls,2,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,5,Both,No,No,Yes,No Curfew,13-05-2026,Full
221,sahakar nagar,13.06,77.58,3.36,15231,Single,Co-ed,3,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,5,Both,No,No,No,9:00 PM,20-05-2026,Full
222,kodigehalli,13.07,77.58,4.32,18116,Single,Boys,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1,Both,No,Yes,Yes,11:00 PM,28-04-2026,Available
223,sahakar nagar,13.06,77.58,3.36,5930,Triple,Co-ed,2,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,2,Both,No,No,No,9:00 PM,20-05-2026,Full
224,kothanur,13.06,77.65,6.5,19692,Single,Boys,2,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,5,Both,No,Yes,No,11:00 PM,06-05-2026,Full
225,kodigehalli,13.07,77.58,4.32,6529,Double,Girls,2,No,No,No,No,No,No,No,No,No,Yes,Yes,1,Non-Veg,No,Yes,No,11:00 PM,27-04-2026,Full
226,kodigehalli,13.07,77.58,4.32,6808,Triple,Boys,2,No,No,No,No,No,Yes,No,No,Yes,No,Yes,2,Both,No,Yes,No,No Curfew,28-04-2026,Available
227,thanisandra,13.05,77.62,3.05,7864,Triple,Girls,3,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,1,Both,No,Yes,No,10:00 PM,17-05-2026,Full
228,hebbal,13.035,77.597,0,11296,Double,Boys,3,No,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,2,Veg,No,No,No,9:00 PM,12-05-2026,Available
229,kothanur,13.06,77.65,6.5,11979,Single,Girls,2,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,1,Non-Veg,No,No,No,10:00 PM,12-05-2026,Available
230,sahakar nagar,13.06,77.58,3.36,4721,Triple,Co-ed,2,No,No,No,No,No,No,No,No,Yes,No,Yes,1,Non-Veg,No,No,Yes,11:00 PM,10-05-2026,Full
231,kothanur,13.06,77.65,6.5,10512,Double,Girls,3,No,No,No,No,No,Yes,No,Yes,No,No,Yes,3,Veg,Yes,Yes,No,11:00 PM,20-05-2026,Full
232,jakkur,13.08,77.6,5.01,6882,Double,Boys,2,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,1,Veg,Yes,Yes,Yes,11:00 PM,11-05-2026,Available
233,rt nagar,13.022,77.594,1.48,7473,Double,Co-ed,3,No,No,Yes,No,No,No,No,No,No,No,Yes,3,Both,No,Yes,No,No Curfew,07-05-2026,Full
234,nagawara,13.04,77.62,2.61,7176,Triple,Boys,3,Yes,No,No,No,Yes,No,No,Yes,No,No,No,2,Non-Veg,No,Yes,Yes,No Curfew,06-05-2026,Available
235,kodigehalli,13.07,77.58,4.32,4183,Triple,Boys,2,No,Yes,No,No,No,No,No,No,No,No,Yes,3,Non-Veg,Yes,Yes,No,11:00 PM,07-05-2026,Available
236,thanisandra,13.05,77.62,3.05,4270,Triple,Co-ed,3,No,No,No,No,No,No,No,No,No,Yes,Yes,2,Veg,Yes,Yes,No,9:00 PM,07-05-2026,Full
237,thanisandra,13.05,77.62,3.05,4627,Triple,Girls,3,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,1,Both,Yes,Yes,Yes,11:00 PM,17-05-2026,Available
238,bagalur,13.12,77.65,11.12,4529,Triple,Boys,2,Yes,No,No,No,No,No,No,Yes,No,No,Yes,5,Veg,No,Yes,No,No Curfew,19-05-2026,Available
239,vidyaranyapura,13.08,77.55,7.22,7268,Triple,Boys,2,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,4,Non-Veg,No,Yes,No,9:00 PM,11-05-2026,Available
240,kammanahalli,13.02,77.635,4.53,10719,Single,Co-ed,2,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,1,Both,Yes,No,No,No Curfew,20-05-2026,Available
241,jakkur,13.08,77.6,5.01,12758,Single,Boys,3,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,5,Veg,No,Yes,No,9:00 PM,26-04-2026,Available
242,kalyan nagar,13.025,77.64,4.9,7780,Triple,Girls,3,No,No,No,Yes,No,No,Yes,No,No,No,Yes,5,Both,Yes,Yes,No,10:00 PM,01-05-2026,Available
243,kodigehalli,13.07,77.58,4.32,10003,Single,Girls,3,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,4,Non-Veg,No,No,No,11:00 PM,06-05-2026,Full
244,kalyan nagar,13.025,77.64,4.9,4462,Triple,Co-ed,3,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,3,Non-Veg,Yes,Yes,No,10:00 PM,27-04-2026,Full
245,nagawara,13.04,77.62,2.61,9575,Double,Co-ed,3,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,5,Non-Veg,Yes,No,Yes,No Curfew,02-05-2026,Available
246,thanisandra,13.05,77.62,3.05,9075,Double,Co-ed,2,No,No,No,Yes,No,No,No,Yes,No,No,Yes,3,Both,No,No,Yes,9:00 PM,29-04-2026,Full
247,kammanahalli,13.02,77.635,4.53,18170,Single,Boys,3,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,1,Both,No,Yes,Yes,10:00 PM,30-04-2026,Available
248,horamavu,13.03,77.67,8.12,7106,Double,Girls,3,No,No,No,No,No,Yes,No,No,No,No,Yes,1,Non-Veg,Yes,Yes,Yes,9:00 PM,30-04-2026,Full
249,kothanur,13.06,77.65,6.5,8146,Double,Boys,3,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,3,Non-Veg,No,Yes,No,10:00 PM,26-04-2026,Available
250,nagawara,13.04,77.62,2.61,13586,Single,Co-ed,2,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,4,Non-Veg,No,No,No,10:00 PM,19-05-2026,Available
251,hebbal,13.035,77.597,0,6464,Double,Co-ed,3,Yes,No,No,Yes,No,No,No,Yes,Yes,No,Yes,4,Both,No,No,No,No Curfew,05-05-2026,Available
252,vidyaranyapura,13.08,77.55,7.22,10013,Double,Girls,2,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,4,Non-Veg,No,Yes,No,10:00 PM,01-05-2026,Available
253,jakkur,13.08,77.6,5.01,6829,Double,Girls,2,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,2,Veg,No,Yes,No,11:00 PM,25-04-2026,Available
254,jakkur,13.08,77.6,5.01,9277,Single,Co-ed,2,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,3,Veg,No,No,No,11:00 PM,30-04-2026,Full
255,yelahanka,13.1,77.596,7.22,9129,Single,Girls,2,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,4,Both,Yes,No,No,No Curfew,21-04-2026,Full
256,horamavu,13.03,77.67,8.12,4558,Triple,Co-ed,2,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,1,Veg,No,No,Yes,10:00 PM,12-05-2026,Full
257,bagalur,13.12,77.65,11.12,11077,Single,Co-ed,2,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,1,Both,No,Yes,No,11:00 PM,22-04-2026,Available
258,thanisandra,13.05,77.62,3.05,7231,Triple,Boys,2,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,3,Non-Veg,No,No,Yes,9:00 PM,05-05-2026,Full
259,bagalur,13.12,77.65,11.12,8660,Double,Co-ed,2,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,4,Non-Veg,No,No,No,10:00 PM,14-05-2026,Available
260,hebbal,13.035,77.597,0,6776,Triple,Girls,2,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,4,Both,No,No,No,9:00 PM,27-04-2026,Full
261,hennur,13.05,77.64,5.06,9629,Double,Girls,2,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,3,Veg,No,Yes,Yes,9:00 PM,13-05-2026,Available
262,hennur,13.05,77.64,5.06,4799,Triple,Boys,2,No,No,No,No,Yes,No,No,No,No,No,Yes,4,Veg,Yes,Yes,No,No Curfew,12-05-2026,Available
263,hennur,13.05,77.64,5.06,7367,Double,Boys,2,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,3,Non-Veg,No,No,No,11:00 PM,02-05-2026,Available
264,yelahanka,13.1,77.596,7.22,7644,Double,Boys,3,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,3,Both,Yes,Yes,No,10:00 PM,06-05-2026,Available
265,kammanahalli,13.02,77.635,4.53,7049,Double,Boys,2,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,2,Non-Veg,No,No,Yes,11:00 PM,26-04-2026,Available
266,hennur,13.05,77.64,5.06,17105,Single,Co-ed,2,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,3,Veg,No,Yes,Yes,11:00 PM,15-05-2026,Available
267,horamavu,13.03,77.67,8.12,5292,Triple,Co-ed,2,No,No,No,No,No,No,No,No,No,No,Yes,4,Both,No,Yes,No,10:00 PM,19-05-2026,Available
268,bagalur,13.12,77.65,11.12,16008,Single,Boys,2,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,5,Veg,No,No,Yes,10:00 PM,13-05-2026,Available
269,horamavu,13.03,77.67,8.12,9590,Double,Boys,3,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,1,Non-Veg,No,No,Yes,9:00 PM,27-04-2026,Available
270,kodigehalli,13.07,77.58,4.32,6525,Triple,Co-ed,3,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,3,Both,Yes,Yes,No,10:00 PM,07-05-2026,Full
271,bagalur,13.12,77.65,11.12,9622,Double,Boys,3,No,No,No,No,Yes,No,No,No,No,Yes,No,1,Non-Veg,No,No,Yes,10:00 PM,26-04-2026,Available
272,vidyaranyapura,13.08,77.55,7.22,13677,Single,Boys,3,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,5,Both,Yes,Yes,No,11:00 PM,11-05-2026,Available
273,hebbal,13.035,77.597,0,6270,Double,Boys,3,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,3,Both,No,Yes,No,10:00 PM,12-05-2026,Available
274,kalyan nagar,13.025,77.64,4.9,7473,Double,Co-ed,3,No,No,No,No,No,No,No,No,Yes,No,Yes,5,Veg,No,No,No,No Curfew,11-05-2026,Full
275,horamavu,13.03,77.67,8.12,17671,Single,Girls,2,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,5,Non-Veg,No,Yes,No,11:00 PM,10-05-2026,Available
276,thanisandra,13.05,77.62,3.05,4174,Triple,Boys,2,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,1,Veg,No,Yes,No,10:00 PM,30-04-2026,Full
277,kalyan nagar,13.025,77.64,4.9,18706,Single,Co-ed,3,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,5,Veg,No,Yes,Yes,9:00 PM,04-05-2026,Available
278,kammanahalli,13.02,77.635,4.53,5819,Triple,Boys,3,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,3,Veg,No,Yes,No,No Curfew,27-04-2026,Available
279,vidyaranyapura,13.08,77.55,7.22,8653,Double,Boys,2,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,3,Veg,No,Yes,No,11:00 PM,04-05-2026,Full
280,hebbal,13.035,77.597,0,4373,Triple,Girls,2,No,No,No,No,No,Yes,No,No,No,No,Yes,4,Both,No,No,Yes,No Curfew,16-05-2026,Full
281,sahakar nagar,13.06,77.58,3.36,5634,Triple,Co-ed,3,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,5,Non-Veg,No,Yes,No,9:00 PM,26-04-2026,Available
282,kothanur,13.06,77.65,6.5,4662,Triple,Girls,3,No,No,No,No,No,No,No,No,Yes,No,Yes,3,Veg,No,Yes,No,11:00 PM,06-05-2026,Available
283,horamavu,13.03,77.67,8.12,11387,Single,Boys,3,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,4,Non-Veg,No,Yes,Yes,No Curfew,26-04-2026,Available
284,hennur,13.05,77.64,5.06,9402,Double,Girls,3,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,5,Veg,Yes,No,Yes,10:00 PM,07-05-2026,Available
285,kodigehalli,13.07,77.58,4.32,4507,Triple,Girls,3,Yes,No,No,No,No,No,No,No,No,No,Yes,2,Veg,No,Yes,No,11:00 PM,16-05-2026,Available
